sku_id,candidato,wape_medio,bias_medio,mae_medio,tasa_fallback_backtest,sin_datos_suficientes
21012,ets_tsb,0.3971249729108479,-0.13570441229112268,33.249999790141985,0.0,False
21025,benchmark,3.370217035217035,3.0350819000818996,15.933333333333332,0.0,False
21026,benchmark,0.5058823529411764,0.38823529411764707,14.333333333333334,0.0,False
21027,benchmark,1.3082538420773715,0.7331611022787493,14.466666666666669,0.0,False
21028,benchmark,1.7546452479555492,1.0640265427033213,17.536636567762656,0.0,False
21030,benchmark,1.25,0.9375,13.333333333333334,0.0,False
21032,benchmark,2.0523349436392917,0.6223832528180354,17.166666666666664,0.0,False
21033,xgboost,0.7309494105914272,-0.19226746232887354,170.4737762451172,0.4,False
21034,random_forest,0.24368518661362318,0.19896395172052572,34.81879780000095,0.25,False
21035,xgboost,0.4626309584842692,0.38989282738694636,81.30717690785725,0.25,False
21039,random_forest,0.9642689082067903,0.7884935369454711,33.96067723653661,0.25,False
21041,benchmark,3.0602025316455697,2.3128945147679323,116.5,0.0,False
21042,ets_tsb,1.3195172604897567,1.1620705408133982,25.081429407189276,0.0,False
21043,benchmark,0.9909048449111335,-0.9273596944094613,115.16666666666666,0.0,False
21051,benchmark,2.4285714285714284,2.4285714285714284,17.0,0.0,False
21054,benchmark,0.7931034482758621,0.10344827586206896,7.666666666666667,0.0,False
21055,benchmark,0.9201322230203821,0.7893397241106677,9.875,0.0,False
21056,ets_tsb,4.286682701341047,3.641841666545917,16.995047965049174,0.0,False
21058,benchmark,1.1649471235308857,0.9118009277075104,56.833333333333336,0.0,False
21059,ets_tsb,0.6674411503492137,0.6571289093758153,25.71049859955029,0.0,False
21060,random_forest,0.5187284749661957,0.3918448888684851,14.982031610461295,0.25,False
21061,xgboost,0.5804579469184799,0.3681598961316006,21.390100638071697,0.25,False
21062,ets_tsb,0.5462294859014909,0.2880597249701262,18.821209944087805,0.0,False
21063,ets_tsb,0.837652240366447,0.837652240366447,29.26238353874017,0.0,False
21064,random_forest,1.7737357334521557,0.9977307121777648,46.97093621656122,0.25,False
21065,benchmark,1.129735268990639,-0.4534627162702213,34.130795419374806,0.0,False
21066,random_forest,3.6976296836159235,3.080923285607194,107.13104733923484,0.25,False
21067,ets_tsb,1.390249793524676,1.176133890535157,21.983894759233127,0.0,False
21068,ets_tsb,4.27073281722393,3.9363760293187227,185.0263302327393,0.0,False
21069,random_forest,1.0298651923334587,0.7076890998800535,237.49781568662814,0.5,False
21070,ets_tsb,1.8678777250123242,0.7654320011851463,103.94086588647238,0.0,False
21071,ets_tsb,1.8952254849507344,1.472021103294852,82.2682014794141,0.0,False
21078,ets_tsb,0.5438212112389927,0.1937739823326383,161.66098799032244,0.0,False
21080,ets_tsb,0.47126128328223005,0.4433518047593924,424.51407558842766,0.0,False
21082,benchmark,9.462358276643991,9.462358276643991,146.83333333333331,0.0,False
21084,benchmark,0.771875830659641,-0.771875830659641,259.86127015464126,0.0,False
21086,ets_tsb,0.40920179559799363,0.31360211612546784,188.47208619161455,0.0,False
21088,benchmark,10.309312019713923,9.457862794645239,1482.6666666666667,0.0,False
21090,benchmark,0.6761585079688868,-0.6761585079688868,251.9411190313446,0.0,False
21094,ets_tsb,0.48781281211947153,0.32641988544894185,263.31855125388347,0.0,False
21096,benchmark,17.664958931470032,16.816158148185245,1467.0666666666664,0.0,False
21106,xgboost,1.3442386453076343,0.9193126388607381,20.918793241182964,0.25,False
21107,ets_tsb,1.5365667057559742,0.8366119808614271,57.49384185246897,0.0,False
21108,xgboost,2.267020601124724,1.563833179624798,344.52809141079587,0.25,False
21109,benchmark,2.5610408214380644,2.073012831957601,18.131845238095238,0.0,False
21110,xgboost,2.5519927540249263,2.51741828593982,36.71767791112264,0.42857142857142855,False
21111,benchmark,1.1677867991469246,1.0963596544350498,19.8,0.0,False
21112,xgboost,6.57545061367845,6.17313753689735,104.22232787370015,0.5,False
21114,ets_tsb,0.5474402613142738,0.07377159719801848,54.38911696368453,0.0,False
21115,ets_tsb,1.0167910277289993,0.11100100350064954,40.914347600627586,0.0,False
21116,benchmark,0.34788603502543675,0.025387041089631496,19.916666666666664,0.0,False
21121,ets_tsb,0.6148005797173399,0.35173067758966836,314.8710966937417,0.0,False
21122,ets_tsb,0.5779861297071857,0.3730711528196683,228.6779132945542,0.0,False
21123,ets_tsb,0.5129539738282797,0.21421523648211527,49.075698879428,0.0,False
21124,ets_tsb,0.726855702076492,0.5069046756206547,207.0741547726546,0.0,False
21125,ets_tsb,0.8377843979047515,-0.7329021256757182,45.015145541464264,0.0,False
21126,random_forest,0.39009335482773067,0.12635381215763086,17.726428828286362,0.25,False
21128,benchmark,0.9689429154629459,0.06570541879238634,5.333333333333334,0.0,False
21129,benchmark,0.8193400167084378,0.21449456975772768,3.583333333333333,0.0,False
21131,benchmark,4.190056022408964,3.7062558356676,27.333333333333332,0.0,False
21132,benchmark,1.0242979242979242,0.36561660561660564,4.466666666666667,0.0,False
21135,ets_tsb,0.9190173232944038,0.3627627988876745,109.02345455492411,0.0,False
21136,ets_tsb,0.42581861818868727,0.160117488808259,148.0872024255057,0.0,False
21137,random_forest,0.494128542589539,-0.24563232006165192,421.42488771702835,0.25,False
21147,benchmark,0.8269254032166377,0.4716152889283422,45.444444444444436,0.0,False
21154,ets_tsb,0.28700577680204153,0.13893578607508902,83.0572165574248,0.0,False
21155,benchmark,0.7811166204152613,0.5232930697618924,186.26666666666665,0.0,False
21156,ets_tsb,0.5622772685286928,0.0064890902055554645,121.82011354913789,0.0,False
21157,ets_tsb,2.254274384298963,2.254274384298963,9.248798815449893,0.0,False
21158,ets_tsb,0.7400566085663752,-0.6377447528050834,94.63385098903926,0.0,False
21159,ets_tsb,0.7520418440256464,-0.40933776679217204,83.45833345626791,0.0,False
21161,benchmark,1.6663171940526116,0.9938048036599314,42.166666666666664,0.0,False
21162,ets_tsb,0.6792702809095635,-0.4332469070401497,98.71878427985078,0.0,False
21163,random_forest,0.8738840240452692,-0.18184666693367477,118.56622186686769,0.3333333333333333,False
21164,ets_tsb,0.5099029113080005,-0.4398387413365128,85.16087400432052,0.0,False
21165,ets_tsb,0.43861275202052585,0.16880180876791967,142.58423528415847,0.0,False
21166,ets_tsb,0.5866632634603334,0.0251689422945644,446.70250485987305,0.0,False
21167,benchmark,0.3323753460453536,-0.07563332994000022,39.458333333333336,0.0,False
21169,benchmark,0.4446651351915475,0.14753971056939294,174.53333333333336,0.0,False
21171,ets_tsb,1.4737158281409268,0.4671647087698547,79.40043263800374,0.0,False
21172,benchmark,0.3225348173101071,0.07528546352861423,112.58333333333333,0.0,False
21174,ets_tsb,0.509158653566554,-0.509158653566554,204.95795804468924,0.0,False
21175,ets_tsb,0.3801768797536804,0.04424844668536981,283.68078144686297,0.0,False
21179,xgboost,0.7506279251080702,-0.2800606574413801,205.68670209612165,0.4,False
21181,benchmark,0.5418783609009405,0.011214109001169502,758.9166666666666,0.0,False
21187,benchmark,2.1486968068772163,1.1653532798415798,86.49999999999999,0.0,False
21188,random_forest,0.32866886145609525,0.02627065947969513,11.797902116402115,0.5,False
21189,random_forest,1.0402285639092275,0.7424509441883769,14.801774093383468,0.25,False
21191,ets_tsb,0.923968389645121,0.29659279035826774,25.74999985036751,0.0,False
21192,benchmark,1.0450505261774834,0.1404303334947913,105.33333333333333,0.0,False
21194,benchmark,0.8242473980658138,-0.4096528096850551,30.573363218378653,0.0,False
21195,benchmark,0.3197218710493047,-0.12730720606826815,12.042857142857144,0.0,False
21197,benchmark,1.179450861195542,-0.04094630192502533,35.86666666666667,0.0,False
21198,ets_tsb,0.6053240583273907,0.3239835614509203,21.021152881886543,0.0,False
21199,ets_tsb,0.5250347142570793,0.17237306271547137,26.39844143378002,0.0,False
21200,xgboost,1.0548754924511345,0.23609423564756177,67.6589236021042,0.25,False
21201,ets_tsb,0.48929925759876164,-0.143679018445244,72.6408034063248,0.0,False
21202,xgboost,1.1748403705370967,0.8312267224824664,17.897421571943497,0.42857142857142855,False
21204,ets_tsb,0.8186232690747632,0.7329958294993043,29.511074953827162,0.0,False
21205,ets_tsb,1.1485215979644443,1.1485215979644443,14.836569637667711,0.0,False
21206,random_forest,0.3911290865593053,0.22631241379964015,27.38079765736909,0.2857142857142857,False
21207,ets_tsb,0.768771708205615,0.4973839120338661,61.5844142362858,0.0,False
21208,random_forest,0.6063622977482827,-0.3052977511844177,50.4669582645704,0.25,False
21209,ets_tsb,0.6986364459869354,0.07182728244488831,74.19719959744698,0.0,False
21210,ets_tsb,1.0120458163563355,0.4490269064990556,320.26055577103256,0.0,False
21211,ets_tsb,1.049340989358654,0.7306353055411227,65.79696000392819,0.0,False
21212,ets_tsb,0.36838236466956087,0.12194674242045235,959.0256927272915,0.0,False
21213,ets_tsb,0.6567242363391335,0.17463298826472196,713.2471641016564,0.0,False
21215,random_forest,1.3528068818002268,1.1134817914422814,83.02922215053465,0.25,False
21216,benchmark,0.42071555579145714,-0.08246126548972847,57.866666666666674,0.0,False
21217,ets_tsb,1.0237444346840459,0.8133131215377204,61.76016537052387,0.0,False
21218,benchmark,0.4962964035516106,0.2617822098994423,77.11690664408056,0.0,False
21219,random_forest,0.7772923022724361,0.6767167489466449,18.746745804253617,0.25,False
21220,random_forest,0.3890091425692394,-0.04703893385885836,8.526107697857698,0.25,False
21221,ets_tsb,1.3956073565334068,1.3212367691771094,15.927721050277484,0.0,False
21222,ets_tsb,0.4570728912793976,0.4054017324638525,8.431944301144092,0.0,False
21224,ets_tsb,0.490021459077747,0.18556185813649104,34.61116180131773,0.0,False
21231,ets_tsb,0.4531087092056435,0.019968714216967498,184.52692706453138,0.0,False
21232,xgboost,0.630618063771881,0.5321045368694851,483.06287384033203,0.25,False
21238,ets_tsb,0.5985983708695426,0.5598921473398769,133.21975457682694,0.0,False
21239,ets_tsb,0.48692826547347556,0.3583386978952984,92.71036412790076,0.0,False
21240,benchmark,0.808514170757064,0.6553686325802411,171.54166666666666,0.0,False
21242,ets_tsb,0.2978242757566001,0.22932933012582024,73.24938474440873,0.0,False
21243,ets_tsb,0.595318524388184,0.50178583032894,94.81196359192562,0.0,False
21244,benchmark,6.182273859908919,5.729843754641833,173.54166666666669,0.0,False
21245,ets_tsb,0.9025349171224277,0.8123883038960709,56.06210932602045,0.0,False
21246,benchmark,0.7085923684155571,0.7085923684155571,19.178446115288217,0.0,False
21248,ets_tsb,1.9471686016634466,1.1772998940327104,28.244766712235666,0.0,False
